trecho_id,decliv_media_pct,decliv_max_pct,frac_plana,frac_ingreme,decliv_media_graus
RO-ARQ-0227,3.15,6.4,0.176,0.0,1.8
RO-ARQ-0228,1.44,4.41,0.792,0.0,0.83
RO-ARQ-0229,1.97,4.42,0.533,0.0,1.13
RO-ARQ-0230,1.26,3.51,0.919,0.0,0.72
RO-ARQ-0231,1.35,2.46,0.87,0.0,0.77
RO-ARQ-0232,2.55,8.21,0.383,0.021,1.46
RO-ARQ-0233,2.21,5.54,0.5,0.0,1.27
RO-ARQ-0234,3.18,7.35,0.17,0.0,1.82
RO-ARQ-0235,3.06,6.21,0.333,0.0,1.75
RO-ARQ-0236,2.27,2.91,0.286,0.0,1.3
RO-ARQ-0237,2.25,4.36,0.714,0.0,1.29
RO-ARQ-0238,1.79,3.17,0.571,0.0,1.03
RO-ARQ-0239,6.93,9.21,0.0,0.4,3.96
RO-ARQ-0240,2.24,7.22,0.5,0.0,1.29
RO-ARQ-0241,2.57,4.36,0.231,0.0,1.47
RO-ARQ-0242,1.99,3.74,0.524,0.0,1.14
RO-ARQ-0243,2.64,7.19,0.5,0.0,1.51
RO-ARQ-0244,2.76,7.77,0.5,0.0,1.58
RO-ARQ-0245,6.67,8.56,0.0,0.231,3.82
RO-ARQ-0246,2.77,4.94,0.172,0.0,1.59
RO-ARQ-0247,1.69,4.15,0.821,0.0,0.97
RO-ARQ-0248,1.89,6.25,0.65,0.0,1.09
RO-ARQ-0249,1.75,4.26,0.714,0.0,1.0
RO-ARQ-0250,2.99,5.82,0.333,0.0,1.71
RO-ARQ-0251,4.07,6.24,0.059,0.0,2.33
RO-ARQ-0252,3.28,4.2,0.0,0.0,1.88
RO-ARQ-0253,3.61,6.49,0.167,0.0,2.07
RO-ARQ-0254,2.52,3.76,0.222,0.0,1.44
RO-ARQ-0255,2.27,6.31,0.5,0.0,1.3
RO-ARQ-0256,2.52,4.46,0.3,0.0,1.44
RO-ARQ-0257,2.91,5.34,0.222,0.0,1.67
RO-ARQ-0258,1.87,3.38,0.652,0.0,1.07
RO-ARQ-0259,1.61,2.98,0.722,0.0,0.92
RO-ARQ-0260,2.19,4.23,0.467,0.0,1.25
RO-ARQ-0261,1.26,3.68,0.806,0.0,0.72
RO-ARQ-0262,1.9,3.73,0.615,0.0,1.09
RO-ARQ-0263,1.79,5.97,0.727,0.0,1.02
RO-ARQ-0264,1.27,2.96,0.778,0.0,0.73
RO-ARQ-0265,1.77,4.0,0.667,0.0,1.01
RO-ARQ-0266,2.45,4.51,0.4,0.0,1.4
RO-ARQ-0267,2.63,7.33,0.467,0.0,1.51
RO-ARQ-0268,2.53,6.03,0.444,0.0,1.45
RO-ARQ-0269,1.2,1.63,1.0,0.0,0.69
RO-ARQ-0270,2.49,3.61,0.286,0.0,1.43
RO-ARQ-0271,2.4,6.23,0.526,0.0,1.38
RO-ARQ-0272,5.89,8.37,0.0,0.154,3.37
RO-ARQ-0273,1.29,3.05,0.92,0.0,0.74
RO-ARQ-0274,3.0,4.61,0.4,0.0,1.72
RO-ARQ-0275,2.44,5.67,0.385,0.0,1.4
RO-ARQ-0276,1.46,2.73,0.75,0.0,0.84
RO-ARQ-0277,3.2,4.61,0.167,0.0,1.83
RO-ARQ-0278,2.07,3.23,0.379,0.0,1.19
RO-ARQ-0279,1.31,2.4,0.889,0.0,0.75
RO-ARQ-0280,1.81,3.27,0.6,0.0,1.04
RO-ARQ-0281,2.37,6.07,0.5,0.0,1.36
RO-ARQ-0282,5.7,11.46,0.12,0.24,3.26
RO-ARQ-0283,3.67,6.24,0.0,0.0,2.1
RO-ARQ-0284,2.34,3.51,0.333,0.0,1.34
RO-ARQ-0285,4.41,5.93,0.0,0.0,2.52
RO-ARQ-0286,1.56,2.23,0.667,0.0,0.89
RO-ARQ-0287,2.29,3.23,0.167,0.0,1.31
RO-ARQ-0288,1.87,2.84,0.5,0.0,1.07
RO-ARQ-0289,2.28,4.13,0.545,0.0,1.31
RO-ARQ-0290,3.78,4.43,0.0,0.0,2.17
RO-ARQ-0291,5.2,9.88,0.0,0.133,2.98
RO-ARQ-0292,5.73,9.64,0.1,0.2,3.28
RO-ARQ-0293,2.28,4.59,0.417,0.0,1.31
RO-ARQ-0294,3.97,6.49,0.167,0.0,2.27
RO-ARQ-0295,1.4,2.47,0.917,0.0,0.8
RO-ARQ-0296,1.17,2.12,0.857,0.0,0.67
RO-ARQ-0297,2.14,3.21,0.357,0.0,1.22
RO-ARQ-0298,2.45,5.82,0.625,0.0,1.4
RO-ARQ-0299,3.58,8.95,0.375,0.125,2.05
RO-ARQ-0300,6.87,10.99,0.0,0.333,3.93
RO-ARQ-0301,2.75,4.24,0.333,0.0,1.57
RO-ARQ-0302,1.69,3.18,0.667,0.0,0.97
RO-ARQ-0303,1.27,2.04,0.714,0.0,0.73
RO-ARQ-0304,3.02,5.83,0.167,0.0,1.73
RO-ARQ-0305,1.79,3.38,0.667,0.0,1.03
RO-ARQ-0306,1.91,4.0,0.5,0.0,1.1
RO-ARQ-0307,1.99,4.76,0.667,0.0,1.14
RO-ARQ-0308,2.46,4.76,0.4,0.0,1.41
RO-ARQ-0309,5.82,9.52,0.0,0.143,3.33
RO-ARQ-0310,3.44,10.91,0.429,0.143,1.97
RO-ARQ-0311,2.7,9.03,0.615,0.077,1.55
RO-ARQ-0312,3.2,11.46,0.429,0.143,1.83
RO-ARQ-0313,3.71,5.39,0.286,0.0,2.12
RO-ARQ-0314,2.95,7.46,0.231,0.0,1.69
RO-ARQ-0315,5.05,8.0,0.0,0.0,2.89
RO-ARQ-0316,3.21,8.0,0.143,0.143,1.84
RO-ARQ-0317,2.15,5.83,0.565,0.0,1.23
RO-ARQ-0318,3.01,5.63,0.318,0.0,1.72
RO-ARQ-0319,2.15,5.37,0.564,0.0,1.23
RO-ARQ-0320,3.38,7.39,0.174,0.0,1.94
RO-ARQ-0321,2.82,8.29,0.435,0.043,1.62
RO-ARQ-0322,3.03,8.29,0.438,0.062,1.73
RO-ARQ-0323,2.48,5.47,0.375,0.0,1.42
RO-ARQ-0324,1.6,3.7,0.8,0.0,0.92
RO-ARQ-0325,1.41,3.7,0.88,0.0,0.81
RO-ARQ-0326,2.5,5.06,0.375,0.0,1.43
RO-ARQ-0327,3.7,5.31,0.188,0.0,2.12
RO-ARQ-0328,1.91,3.15,0.5,0.0,1.09
RO-ARQ-0329,3.17,6.01,0.364,0.0,1.82
RO-ARQ-0330,2.53,3.97,0.261,0.0,1.45
RO-ARQ-0331,3.15,5.58,0.111,0.0,1.81
RO-ARQ-0332,2.75,4.34,0.273,0.0,1.57
RO-ARQ-0333,3.16,4.97,0.227,0.0,1.81
RO-ARQ-0334,2.83,6.28,0.348,0.0,1.62
RO-ARQ-0335,3.6,8.8,0.133,0.067,2.06
RO-ARQ-0336,2.12,3.61,0.429,0.0,1.21
RO-ARQ-0337,3.55,13.12,0.3,0.1,2.03
RO-ARQ-0338,1.53,3.86,0.745,0.0,0.88
RO-ARQ-0339,2.66,9.36,0.395,0.026,1.53
RO-ARQ-0340,4.28,13.12,0.25,0.167,2.45
RO-ARQ-0341,1.94,3.93,0.6,0.0,1.11
RO-ARQ-0342,3.12,6.33,0.222,0.0,1.79
RO-ARQ-0343,3.37,8.12,0.222,0.111,1.93
RO-ARQ-0344,3.16,7.24,0.417,0.0,1.81
RO-ARQ-0345,1.51,3.69,0.692,0.0,0.86
RO-ARQ-0346,2.74,7.5,0.409,0.0,1.57
RO-ARQ-0347,1.93,3.39,0.556,0.0,1.1
RO-ARQ-0348,1.4,2.77,0.781,0.0,0.8
RO-ARQ-0349,1.72,3.97,0.625,0.0,0.99
RO-ARQ-0350,2.01,4.56,0.5,0.0,1.15
RO-ARQ-0351,4.18,12.01,0.182,0.091,2.39
RO-ARQ-0352,1.86,4.41,0.607,0.0,1.07
RO-ARQ-0353,1.71,2.46,0.667,0.0,0.98
RO-ARQ-0354,1.43,2.69,0.85,0.0,0.82
RO-ARQ-0355,2.46,5.01,0.344,0.0,1.41
RO-ARQ-0356,1.98,3.75,0.481,0.0,1.14
RO-ARQ-0357,2.09,4.67,0.522,0.0,1.2
RO-ARQ-0358,2.4,4.23,0.25,0.0,1.37
RO-ARQ-0359,1.43,2.68,0.722,0.0,0.82
RO-ARQ-0360,1.76,3.3,0.7,0.0,1.01
RO-ARQ-0361,2.19,5.01,0.524,0.0,1.25
RO-ARQ-0362,6.32,12.28,0.12,0.44,3.61
RO-ARQ-0363,1.79,4.71,0.654,0.0,1.03
RO-ARQ-0364,3.89,9.87,0.18,0.06,2.23
RO-ARQ-0365,2.86,6.64,0.264,0.0,1.64
RO-ARQ-0366,2.58,4.81,0.309,0.0,1.48
RO-ARQ-0367,2.53,5.47,0.405,0.0,1.45
RO-ARQ-0368,2.72,5.98,0.317,0.0,1.56
RO-ARQ-0369,2.39,4.98,0.408,0.0,1.37
RO-ARQ-0370,4.32,7.97,0.125,0.0,2.47
RO-ARQ-0371,2.37,3.29,0.167,0.0,1.36
RO-ARQ-0372,1.91,3.41,0.556,0.0,1.1
RO-ARQ-0373,3.37,4.59,0.1,0.0,1.93
RO-ARQ-0374,3.19,5.29,0.2,0.0,1.82
RO-ARQ-0375,3.34,6.45,0.25,0.0,1.91
RO-ARQ-0376,2.11,2.85,0.5,0.0,1.21
RO-ARQ-0377,4.51,9.46,0.143,0.143,2.58
RO-ARQ-0378,2.19,5.47,0.556,0.0,1.25
RO-ARQ-0379,3.1,5.3,0.4,0.0,1.78
RO-ARQ-0380,3.13,5.41,0.222,0.0,1.79
RO-ARQ-0381,3.31,7.35,0.3,0.0,1.9
RO-ARQ-0382,7.63,14.86,0.0,0.5,4.36
RO-ARQ-0383,2.95,5.96,0.323,0.0,1.69
